phase	step	command	start_iso	end_iso	duration_s	exit_code	cache_hit	retries	cause
p4	chaos	bash -c env PYTEST_NO_ESCALATION=1 .venv/bin/python -m pytest tests/e2e/test_chaos_resilience.py -m chaos -v 2>&1 | tee .ai/plans/141-server-recovery/evidence/chaos-r2.log; exit ${PIPESTATUS[0]}	2026-08-06T09:47:54Z	2026-08-06T09:47:55Z	1	1	na	0	chaos-сьют: убийство сервисов, восстановление
ci	poll-signals-14	sh -c sleep 300; grep -E '^[0-9]{4}-[0-9]{2}-[0-9]{2}T[0-9:]+Z \| ' .ai/plans/141-server-recovery/evidence/SIGNALS.md || echo 'NO_RECORDED_SIGNAL'; python3 .ai/plans/141-server-recovery/evidence/ci_poller_r2.py --limit 20	2026-08-06T09:46:44Z	2026-08-06T09:51:46Z	302	0	na	0	wait for P2_BOOTSTRAPPED
local-validation	make-check-r2-b18	make check	2026-08-06T09:43:16Z	2026-08-06T09:56:24Z	788	2	na	0	верификация фиксов B18
ci	poll-signals-15	sh -c sleep 300; grep -E '^[0-9]{4}-[0-9]{2}-[0-9]{2}T[0-9:]+Z \| ' .ai/plans/141-server-recovery/evidence/SIGNALS.md || echo 'NO_RECORDED_SIGNAL'; python3 .ai/plans/141-server-recovery/evidence/ci_poller_r2.py --limit 20	2026-08-06T09:51:49Z	2026-08-06T09:56:51Z	302	0	na	0	wait for P2_BOOTSTRAPPED
ci	poll-signals-16	sh -c sleep 300; grep -E '^[0-9]{4}-[0-9]{2}-[0-9]{2}T[0-9:]+Z \| ' .ai/plans/141-server-recovery/evidence/SIGNALS.md || echo 'NO_RECORDED_SIGNAL'; python3 .ai/plans/141-server-recovery/evidence/ci_poller_r2.py --limit 20	2026-08-06T09:56:55Z	2026-08-06T10:01:57Z	302	0	na	0	wait for P2_BOOTSTRAPPED
ci	poll-signals-17	sh -c sleep 300; grep -E '^[0-9]{4}-[0-9]{2}-[0-9]{2}T[0-9:]+Z \| ' .ai/plans/141-server-recovery/evidence/SIGNALS.md || echo 'NO_RECORDED_SIGNAL'; python3 .ai/plans/141-server-recovery/evidence/ci_poller_r2.py --limit 20	2026-08-06T10:02:03Z	2026-08-06T10:07:05Z	302	0	na	0	wait for P2_BOOTSTRAPPED
local-validation	make-check-r2-b18-retry	make check	2026-08-06T09:56:52Z	2026-08-06T10:09:45Z	773	0	na	0	повторный прогон после ruff-фикса
p4	healthcheck	bash -c make healthcheck NODE=tronyx-vps 2>&1 | tee .ai/plans/141-server-recovery/evidence/healthcheck-r2.log; exit ${PIPESTATUS[0]}	2026-08-06T10:36:34Z	2026-08-06T10:36:37Z	3	2	na	0	healthcheck: все сервисы
ci	poll-signals-23	sh -c sleep 300; grep -E '^[0-9]{4}-[0-9]{2}-[0-9]{2}T[0-9:]+Z \| ' .ai/plans/141-server-recovery/evidence/SIGNALS.md || echo 'NO_RECORDED_SIGNAL'; python3 .ai/plans/141-server-recovery/evidence/ci_poller_r2.py --limit 20	2026-08-06T10:32:43Z	2026-08-06T10:37:44Z	301	0	na	0	wait for P2_BOOTSTRAPPED
p4	state-json-verify	make node-update NODE=tronyx-vps	2026-08-06T10:39:56Z	2026-08-06T10:40:04Z	8	0	yes	0	node-update no-op после восстановления state.json
ci	poll-signals-24	sh -c sleep 300; grep -E '^[0-9]{4}-[0-9]{2}-[0-9]{2}T[0-9:]+Z \| ' .ai/plans/141-server-recovery/evidence/SIGNALS.md || echo 'NO_RECORDED_SIGNAL'; python3 .ai/plans/141-server-recovery/evidence/ci_poller_r2.py --limit 20	2026-08-06T10:37:48Z	2026-08-06T10:42:50Z	302	0	na	0	wait for P2_BOOTSTRAPPED
p4	e2e-verify	bash -c make e2e-verify NODE=tronyx-vps MODE=remote JSON=1 > /Users/tronyx/projects/ai-platform/.ai/plans/141-server-recovery/evidence/e2e-verify-r2.json 2> /Users/tronyx/projects/ai-platform/.ai/plans/141-server-recovery/evidence/e2e-verify-r2.log	2026-08-06T10:43:55Z	2026-08-06T10:43:55Z	0	2	na	0	2-й цикл: sweep HTTP+TLS MODE=remote JSON
p4	e2e-verify	bash -c make e2e-verify NODE=tronyx-vps MODE=remote JSON=1 > .ai/plans/141-server-recovery/evidence/e2e-verify-r2.json 2> .ai/plans/141-server-recovery/evidence/e2e-verify-r2.log	2026-08-06T10:44:03Z	2026-08-06T10:44:06Z	3	2	na	0	2-й цикл: sweep HTTP+TLS MODE=remote JSON
p4	e2e-verify-local	bash -c make e2e-verify NODE=tronyx-vps MODE=local JSON=1 > .ai/plans/141-server-recovery/evidence/e2e-verify-r2.json 2> .ai/plans/141-server-recovery/evidence/e2e-verify-r2-local.log	2026-08-06T10:44:19Z	2026-08-06T10:44:24Z	5	0	na	0	2-й цикл: sweep HTTP+TLS MODE=local (fallback R6)
p4	auth-matrix	python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/auth_matrix_r2.py	2026-08-06T10:45:30Z	2026-08-06T10:45:33Z	3	1	na	0	2-й цикл: cookie-jar auth по 8 хостам
p5	provision-llm	make provision-llm	2026-08-06T10:46:58Z	2026-08-06T10:46:59Z	1	0	na	0	2-й цикл: make provision-llm (локальный litellm 127.0.0.1:4000)
p5	grafana-api	bash -c python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py datasources 2>/dev/null; python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py alert-rules 2>/dev/null; python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py contact-points 2>/dev/null; python3 /var/folders/14/vtgwv6lj4g70fldm667f33lc0000gn/T/kilo/141-secrets/grafana_client.py policies 2>/dev/null	2026-08-06T10:47:13Z	2026-08-06T10:47:14Z	1	0	na	0	2-й цикл: health+user+datasources+rules+contact-points+policies
ci	poll-signals-25	sh -c sleep 300; grep -E '^[0-9]{4}-[0-9]{2}-[0-9]{2}T[0-9:]+Z \| ' .ai/plans/141-server-recovery/evidence/SIGNALS.md || echo 'NO_RECORDED_SIGNAL'; python3 .ai/plans/141-server-recovery/evidence/ci_poller_r2.py --limit 20	2026-08-06T10:42:54Z	2026-08-06T10:47:56Z	302	0	na	0	wait for P2_BOOTSTRAPPED
local-validation	static-audit-r2-repro	python3 -m core.internal.test_runner --marker static_audit --junit-output /tmp/report-static-r2.xml	2026-08-06T10:37:30Z	2026-08-06T10:48:25Z	655	0	na	0	воспроизведение gate static_audit (adopt-флак)
