file,line,snippet,call_type,consolidation_wave
"core/internal/bootstrap/deploy-modules.sh",1410,"        done < <(echo ""$_topo_result"" | python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",1573,"            _group_json=$(echo ""$_topo_result"" | python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/deploy-modules.sh",1592,"            done < <(echo ""$_group_json"" | python3 -c """,python3 -c,W4-done
"core/internal/scripts/yaml_query.py",6,"## @purpose  Typed Python API + CLI для YAML/JSON-запросов. Заменяет inline `python3 -c` однострочники.",python3 -c,W5
"core/internal/scripts/yaml_query.py",16,"## @rationale 40+ inline `python3 -c ""import yaml,sys; ...""` в shell-скриптах сигнализируют о Bash-ceiling.",python3 -c,W5
"core/internal/scripts/yaml_query.py",134,"        description=""Typed YAML/JSON query — replacement for inline python3 -c"",",python3 -c,W5
"core/lib/vps-readiness.sh",69,"        ssh_host=""$(echo ""${NODE_HOST_MAP}"" | python3 -c ""import json,sys; m=json.load(sys.stdin); print(m.get('${node_name}',''))"" 2>/dev/null || true)""",python3 -c,W5
"core/lib/vps-readiness.sh",73,"            remediation_hints+=(""Check NODE_HOST_MAP for node '${node_name}'. Current keys: $(echo ""${NODE_HOST_MAP}"" | python3 -c ""import json,sys; print(list(json.load(sys.stdin).keys()))"" 2>/dev/null || echo ""unparseable"")"")",python3 -c,W5
"core/internal/healthcheck/docker-healthcheck.sh",35,"    containers_json=$(docker ps --all --format '{{json .}}' 2>/dev/null | python3 -c """,python3 -c,W5
"core/internal/healthcheck/docker-healthcheck.sh",63,"        echo ""[IMP:7][docker-healthcheck][export] Container health status written to ${HEALTH_JSON} ($(echo ""$containers_json"" | python3 -c 'import sys,json; print(len(json.load(sys.stdin).get(""containers"",[])))') containers)""",python3 -c,W5
"core/internal/bootstrap/install-docker.sh",116,"        python3 -c """,python3 -c,W5
"core/internal/bootstrap/s3-ssl-cache.sh",155,"    python3 -c """,python3 -c,W5
"core/internal/bootstrap/node-lifecycle.sh",1067,"            if ! python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/node-lifecycle.sh",1215,"            if ! python3 -c """,python3 -c,W4-done
"core/lib/yaml_read.sh",10,"##           `python3 -c ""import yaml; ...""` patterns across the codebase.",python3 -c,W1
"core/lib/yaml_read.sh",28,"##           — CONSOLIDATES: 13+ inline `python3 -c ""import yaml""` calls",python3 -c,W1
"core/lib/yaml_read.sh",30,"##   - Requires python3 with PyYAML installed (python3 -c ""import yaml"")",python3 -c,W1
"core/lib/yaml_read.sh",38,"##   A: 13 inline `python3 -c ""import yaml""` calls across 5+ files create",python3 -c,W1
"core/internal/bootstrap/converge.sh",223,"    CONVERGE_REPORT_DRIFTS+=(""$(python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/converge.sh",241,"    python3 -c """,python3 -c,W4-done
"core/internal/bootstrap/converge.sh",521,"    project_list=""$(echo ""${projects_json}"" | python3 -c ""import json,sys; [print(p['name']) for p in json.load(sys.stdin) if p.get('name')]"" 2>/dev/null || true)""",python3 -c,W4-done
"core/internal/bootstrap/converge.sh",932,"            pname=""$(echo ""${entry}"" | python3 -c ""import json,sys; print(json.load(sys.stdin)['name'])"" 2>/dev/null || true)""",python3 -c,W4-done
"core/internal/bootstrap/converge.sh",934,"            domain=""$(echo ""${entry}"" | python3 -c ""import json,sys; print(json.load(sys.stdin)['domain'])"" 2>/dev/null || true)""",python3 -c,W4-done
"core/internal/bootstrap/converge.sh",962,"        done <<< ""$(echo ""${projects_with_domains}"" | python3 -c """,python3 -c,W4-done
"core/lib/node-resolver.sh",255,"    host=""$(python3 -c """,python3 -c,W5
"core/lib/node-resolver.sh",302,"    # Uses python3 -c with inline script. The yaml_path is interpolated",python3 -c,W5
"core/lib/node-resolver.sh",306,"    host=""$(python3 -c """,python3 -c,W5
"core/lib/secrets.sh",327,"        _gen_spec=$(python3 -c """,python3 -c,W5
